Kinase,Peptide,LFC
BARK1,ACM1_444_456,0.21679594649395195
CDK,ACM1_444_456,0.21679594649395195
CK1,ACM1_444_456,0.21679594649395195
DAPK,ACM1_444_456,0.21679594649395195
DMPK,ACM1_444_456,0.21679594649395195
DYRK,ACM1_444_456,0.21679594649395195
ERK,ACM1_444_456,0.21679594649395195
GSK,ACM1_444_456,0.21679594649395195
IRAK,ACM1_444_456,0.21679594649395195
JNK,ACM1_444_456,0.21679594649395195
MLCK,ACM1_444_456,0.21679594649395195
P38,ACM1_444_456,0.21679594649395195
PDK1,ACM1_444_456,0.21679594649395195
PEK,ACM1_444_456,0.21679594649395195
PHK,ACM1_444_456,0.21679594649395195
PIM,ACM1_444_456,0.21679594649395195
PKCA,ACM1_444_456,0.21679594649395195
RSK,ACM1_444_456,0.21679594649395195
VRK2,ACM1_444_456,0.21679594649395195
BARK1,ACM4_456_468,-0.02985368091622516
FRAY,ACM4_456_468,-0.02985368091622516
MELK,ACM4_456_468,-0.02985368091622516
PDHK,ACM4_456_468,-0.02985368091622516
PDK1,ACM4_456_468,-0.02985368091622516
PIM,ACM4_456_468,-0.02985368091622516
PKCA,ACM4_456_468,-0.02985368091622516
PKCH,ACM4_456_468,-0.02985368091622516
VRK2,ACM4_456_468,-0.02985368091622516
BARK1,ADDB_696_708,0.29592222951170566
CDK,ADDB_696_708,0.29592222951170566
CK1,ADDB_696_708,0.29592222951170566
DMPK,ADDB_696_708,0.29592222951170566
DYRK,ADDB_696_708,0.29592222951170566
ERK,ADDB_696_708,0.29592222951170566
GSK,ADDB_696_708,0.29592222951170566
IKK,ADDB_696_708,0.29592222951170566
JNK,ADDB_696_708,0.29592222951170566
MELK,ADDB_696_708,0.29592222951170566
MST,ADDB_696_708,0.29592222951170566
NEK,ADDB_696_708,0.29592222951170566
P38,ADDB_696_708,0.29592222951170566
PDK1,ADDB_696_708,0.29592222951170566
PEK,ADDB_696_708,0.29592222951170566
PKCA,ADDB_696_708,0.29592222951170566
PKCH,ADDB_696_708,0.29592222951170566
PLK,ADDB_696_708,0.29592222951170566
QIK,ADDB_696_708,0.29592222951170566
RIPK,ADDB_696_708,0.29592222951170566
STE7,ADDB_696_708,0.29592222951170566
VRK1,ADDB_696_708,0.29592222951170566
VRK2,ADDB_696_708,0.29592222951170566
BARK1,ADDB_706_718,0.09268476760103304
CDK,ADDB_706_718,0.09268476760103304
CHK1,ADDB_706_718,0.09268476760103304
DMPK,ADDB_706_718,0.09268476760103304
DYRK,ADDB_706_718,0.09268476760103304
ERK,ADDB_706_718,0.09268476760103304
JNK,ADDB_706_718,0.09268476760103304
MAPKAPK,ADDB_706_718,0.09268476760103304
MST,ADDB_706_718,0.09268476760103304
NEK,ADDB_706_718,0.09268476760103304
P38,ADDB_706_718,0.09268476760103304
PAKA,ADDB_706_718,0.09268476760103304
PDHK,ADDB_706_718,0.09268476760103304
PDK1,ADDB_706_718,0.09268476760103304
PEK,ADDB_706_718,0.09268476760103304
PHK,ADDB_706_718,0.09268476760103304
PIM,ADDB_706_718,0.09268476760103304
PKCA,ADDB_706_718,0.09268476760103304
PLK,ADDB_706_718,0.09268476760103304
RAD53,ADDB_706_718,0.09268476760103304
RSK,ADDB_706_718,0.09268476760103304
VRK2,ADDB_706_718,0.09268476760103304
AKT,ADRB2_338_350,0.4302553783033585
BARK1,ADRB2_338_350,0.4302553783033585
CAMK1,ADRB2_338_350,0.4302553783033585
CDK,ADRB2_338_350,0.4302553783033585
CHK1,ADRB2_338_350,0.4302553783033585
DMPK,ADRB2_338_350,0.4302553783033585
GRK,ADRB2_338_350,0.4302553783033585
PAKA,ADRB2_338_350,0.4302553783033585
PKA,ADRB2_338_350,0.4302553783033585
PKCA,ADRB2_338_350,0.4302553783033585
PKCI,ADRB2_338_350,0.4302553783033585
PKG,ADRB2_338_350,0.4302553783033585
RAD53,ADRB2_338_350,0.4302553783033585
RSK,ADRB2_338_350,0.4302553783033585
VRK2,ADRB2_338_350,0.4302553783033585
AKT,ANDR_785_797,0.23571281621974727
ATR,ANDR_785_797,0.23571281621974727
BARK1,ANDR_785_797,0.23571281621974727
DMPK,ANDR_785_797,0.23571281621974727
PHK,ANDR_785_797,0.23571281621974727
PIM,ANDR_785_797,0.23571281621974727
PKA,ANDR_785_797,0.23571281621974727
PKD,ANDR_785_797,0.23571281621974727
RAF,ANDR_785_797,0.23571281621974727
RSK,ANDR_785_797,0.23571281621974727
VRK2,ANDR_785_797,0.23571281621974727
AKT,ANXA1_209_221,0.2427466679527465
BARK1,ANXA1_209_221,0.2427466679527465
DMPK,ANXA1_209_221,0.2427466679527465
PHK,ANXA1_209_221,0.2427466679527465
PKA,ANXA1_209_221,0.2427466679527465
PKCA,ANXA1_209_221,0.2427466679527465
PKG,ANXA1_209_221,0.2427466679527465
RSK,ANXA1_209_221,0.2427466679527465
VRK2,ANXA1_209_221,0.2427466679527465
AMPK,BAD_112_124,0.2743434813161354
BARK1,BAD_112_124,0.2743434813161354
CK1,BAD_112_124,0.2743434813161354
DMPK,BAD_112_124,0.2743434813161354
FRAY,BAD_112_124,0.2743434813161354
IRAK,BAD_112_124,0.2743434813161354
NEK,BAD_112_124,0.2743434813161354
PAKA,BAD_112_124,0.2743434813161354
PDHK,BAD_112_124,0.2743434813161354
PEK,BAD_112_124,0.2743434813161354
PHK,BAD_112_124,0.2743434813161354
PIM,BAD_112_124,0.2743434813161354
PKA,BAD_112_124,0.2743434813161354
PKCA,BAD_112_124,0.2743434813161354
PKCI,BAD_112_124,0.2743434813161354
PKD,BAD_112_124,0.2743434813161354
PKG,BAD_112_124,0.2743434813161354
QIK,BAD_112_124,0.2743434813161354
RAF,BAD_112_124,0.2743434813161354
RSK,BAD_112_124,0.2743434813161354
