Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
SGK1,33.84651487261973,32,PTM-SEA,0.5394736842105263,3,AGC,SGK,SGK,SGK1
PIK3C2A,0,55,PTM-SEA,0,1,NA,NA,NA,PIK3C2A
CHEK1,-21.121687332459544,42,PTM-SEA,0.40789473684210525,2,CAMK,CAMKL,CHK1,CHEK1
AURKA,43.59551295125054,25,PTM-SEA,0.6447368421052632,3,OTHER,AUR,AUR,AURKA
DAPK3,0,55,PTM-SEA,0,1,CAMK,DAPK,DAPK,DAPK3
RPS6KA5,-48.17277333461558,22,PTM-SEA,0.6842105263157895,3,AGC,RSK,MSK,RPS6KA5
CHEK2,-23.644634882007004,37,PTM-SEA,0.47368421052631576,2,CAMK,RAD53,RAD53,CHEK2
RAF1,-45.99663467075198,23,PTM-SEA,0.6710526315789473,3,TKL,RAF,RAF,RAF1
PRKCG,0,55,PTM-SEA,0,1,AGC,PKC,ALPHA,PRKCG
PRKCB,2.77961912712202,53,PTM-SEA,0.2631578947368421,2,AGC,PKC,ALPHA,PRKCB
CDK1,-80.19284423900791,8,PTM-SEA,0.9078947368421053,4,CMGC,CDK,CDC2,CDK1
ARAF,-34.61001482170624,30,PTM-SEA,0.5657894736842105,3,TKL,RAF,RAF,ARAF
PIM1,-12.33417712216178,49,PTM-SEA,0.3157894736842105,2,CAMK,PIM,PIM,PIM1
CDK4,-24.201069014441504,36,PTM-SEA,0.4868421052631579,2,CMGC,CDK,CDK4,CDK4
SRC,0,55,PTM-SEA,0,1,TK,SRC,SRCA,SRC
BRAF,-34.61001482170624,30,PTM-SEA,0.5657894736842105,3,TKL,RAF,RAF,BRAF
PRKCA,22.945617138740598,38,PTM-SEA,0.4605263157894737,2,AGC,PKC,ALPHA,PRKCA
PRKACA,57.90880610892454,16,PTM-SEA,0.8026315789473685,4,AGC,PKA,PKA,PRKACA
PRKACG,12.485895544626796,48,PTM-SEA,0.32894736842105265,2,AGC,PKA,PKA,PRKACG
PRKACB,-50.13281718163994,21,PTM-SEA,0.6973684210526315,3,AGC,PKA,PKA,PRKACB
RPS6KB1,42.10020214156858,26,PTM-SEA,0.631578947368421,3,AGC,RSK,P70,RPS6KB1
CDK2,-59.02147280061482,15,PTM-SEA,0.8157894736842105,4,CMGC,CDK,CDC2,CDK2
MAPK3,-45.498122768608894,24,PTM-SEA,0.6578947368421053,3,CMGC,MAPK,ERK1,MAPK3
MAPK1,-57.85717958182283,17,PTM-SEA,0.7894736842105263,4,CMGC,MAPK,ERK1,MAPK1
AKT1,26.936524873088647,35,PTM-SEA,0.5,3,AGC,AKT,AKT,AKT1
AKT2,5.5856481149160135,51,PTM-SEA,0.2894736842105263,2,AGC,AKT,AKT,AKT2
