Kinase,Peptide,LFC
BARK1,ACM1_444_456,-0.12876053680886348
CDK,ACM1_444_456,-0.12876053680886348
CK1,ACM1_444_456,-0.12876053680886348
DAPK,ACM1_444_456,-0.12876053680886348
DMPK,ACM1_444_456,-0.12876053680886348
DYRK,ACM1_444_456,-0.12876053680886348
ERK,ACM1_444_456,-0.12876053680886348
GSK,ACM1_444_456,-0.12876053680886348
IRAK,ACM1_444_456,-0.12876053680886348
JNK,ACM1_444_456,-0.12876053680886348
MLCK,ACM1_444_456,-0.12876053680886348
P38,ACM1_444_456,-0.12876053680886348
PDK1,ACM1_444_456,-0.12876053680886348
PEK,ACM1_444_456,-0.12876053680886348
PHK,ACM1_444_456,-0.12876053680886348
PIM,ACM1_444_456,-0.12876053680886348
PKCA,ACM1_444_456,-0.12876053680886348
RSK,ACM1_444_456,-0.12876053680886348
VRK2,ACM1_444_456,-0.12876053680886348
BARK1,ACM4_456_468,-0.1100707360430304
FRAY,ACM4_456_468,-0.1100707360430304
MELK,ACM4_456_468,-0.1100707360430304
PDHK,ACM4_456_468,-0.1100707360430304
PDK1,ACM4_456_468,-0.1100707360430304
PIM,ACM4_456_468,-0.1100707360430304
PKCA,ACM4_456_468,-0.1100707360430304
PKCH,ACM4_456_468,-0.1100707360430304
VRK2,ACM4_456_468,-0.1100707360430304
BARK1,ADDB_696_708,-0.10198928029738408
CDK,ADDB_696_708,-0.10198928029738408
CK1,ADDB_696_708,-0.10198928029738408
DMPK,ADDB_696_708,-0.10198928029738408
DYRK,ADDB_696_708,-0.10198928029738408
ERK,ADDB_696_708,-0.10198928029738408
GSK,ADDB_696_708,-0.10198928029738408
IKK,ADDB_696_708,-0.10198928029738408
JNK,ADDB_696_708,-0.10198928029738408
MELK,ADDB_696_708,-0.10198928029738408
MST,ADDB_696_708,-0.10198928029738408
NEK,ADDB_696_708,-0.10198928029738408
P38,ADDB_696_708,-0.10198928029738408
PDK1,ADDB_696_708,-0.10198928029738408
PEK,ADDB_696_708,-0.10198928029738408
PKCA,ADDB_696_708,-0.10198928029738408
PKCH,ADDB_696_708,-0.10198928029738408
PLK,ADDB_696_708,-0.10198928029738408
QIK,ADDB_696_708,-0.10198928029738408
RIPK,ADDB_696_708,-0.10198928029738408
STE7,ADDB_696_708,-0.10198928029738408
VRK1,ADDB_696_708,-0.10198928029738408
VRK2,ADDB_696_708,-0.10198928029738408
BARK1,ADDB_706_718,-0.14487917223399016
CDK,ADDB_706_718,-0.14487917223399016
CHK1,ADDB_706_718,-0.14487917223399016
DMPK,ADDB_706_718,-0.14487917223399016
DYRK,ADDB_706_718,-0.14487917223399016
ERK,ADDB_706_718,-0.14487917223399016
JNK,ADDB_706_718,-0.14487917223399016
MAPKAPK,ADDB_706_718,-0.14487917223399016
MST,ADDB_706_718,-0.14487917223399016
NEK,ADDB_706_718,-0.14487917223399016
P38,ADDB_706_718,-0.14487917223399016
PAKA,ADDB_706_718,-0.14487917223399016
PDHK,ADDB_706_718,-0.14487917223399016
PDK1,ADDB_706_718,-0.14487917223399016
PEK,ADDB_706_718,-0.14487917223399016
PHK,ADDB_706_718,-0.14487917223399016
PIM,ADDB_706_718,-0.14487917223399016
PKCA,ADDB_706_718,-0.14487917223399016
PLK,ADDB_706_718,-0.14487917223399016
RAD53,ADDB_706_718,-0.14487917223399016
RSK,ADDB_706_718,-0.14487917223399016
VRK2,ADDB_706_718,-0.14487917223399016
AKT,ADRB2_338_350,0.6061323177146258
BARK1,ADRB2_338_350,0.6061323177146258
CAMK1,ADRB2_338_350,0.6061323177146258
CDK,ADRB2_338_350,0.6061323177146258
CHK1,ADRB2_338_350,0.6061323177146258
DMPK,ADRB2_338_350,0.6061323177146258
GRK,ADRB2_338_350,0.6061323177146258
