Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
SGK1,-26.19672292900682,37,PTM-SEA,0.4266666666666667,2,AGC,SGK,SGK,SGK1
PIK3C2A,0,50,PTM-SEA,0,1,NA,NA,NA,PIK3C2A
CHEK1,-70.01815500067292,15,PTM-SEA,0.8,4,CAMK,CAMKL,CHK1,CHEK1
AURKA,-4.965328912268074,46,PTM-SEA,0.30666666666666664,2,OTHER,AUR,AUR,AURKA
RPS6KA5,-44.58043255210287,28,PTM-SEA,0.5466666666666666,3,AGC,RSK,MSK,RPS6KA5
CHEK2,-91.32294788174814,5,PTM-SEA,0.9333333333333333,4,CAMK,RAD53,RAD53,CHEK2
RAF1,-17.830788532874198,38,PTM-SEA,0.41333333333333333,2,TKL,RAF,RAF,RAF1
PRKCG,0,50,PTM-SEA,0,1,AGC,PKC,ALPHA,PRKCG
PRKCB,-55.51872048297841,22,PTM-SEA,0.6933333333333334,3,AGC,PKC,ALPHA,PRKCB
CDK1,-91.26216960876988,6,PTM-SEA,0.92,4,CMGC,CDK,CDC2,CDK1
ARAF,59.96475011921353,21,PTM-SEA,0.7066666666666667,3,TKL,RAF,RAF,ARAF
PIM1,52.29840112271729,25,PTM-SEA,0.5866666666666667,3,CAMK,PIM,PIM,PIM1
CDK4,-101.57194993100931,2,PTM-SEA,0.9866666666666667,4,CMGC,CDK,CDK4,CDK4
SRC,0,50,PTM-SEA,0,1,TK,SRC,SRCA,SRC
BRAF,59.96475011921353,21,PTM-SEA,0.7066666666666667,3,TKL,RAF,RAF,BRAF
PRKCA,10.84612188161149,41,PTM-SEA,0.37333333333333335,2,AGC,PKC,ALPHA,PRKCA
PRKACA,54.0858382942943,24,PTM-SEA,0.6666666666666666,3,AGC,PKA,PKA,PRKACA
PRKACG,52.29840112271729,25,PTM-SEA,0.5866666666666667,3,AGC,PKA,PKA,PRKACG
PRKACB,52.29840112271729,25,PTM-SEA,0.5866666666666667,3,AGC,PKA,PKA,PRKACB
RPS6KB1,72.99588012045416,13,PTM-SEA,0.8266666666666667,4,AGC,RSK,P70,RPS6KB1
CDK2,-87.41576694176895,9,PTM-SEA,0.88,4,CMGC,CDK,CDC2,CDK2
MAPK3,-35.08077723893878,31,PTM-SEA,0.5066666666666667,3,CMGC,MAPK,ERK1,MAPK3
MAPK1,-63.556347608998486,18,PTM-SEA,0.76,4,CMGC,MAPK,ERK1,MAPK1
AKT1,48.27045588039472,27,PTM-SEA,0.56,3,AGC,AKT,AKT,AKT1
AKT2,60.93848810328246,19,PTM-SEA,0.7466666666666667,3,AGC,AKT,AKT,AKT2
MAP3K8,-13.474640216375468,39,PTM-SEA,0.4,2,STE,STE-UNIQUE,STE-UNIQUE,MAP3K8
PRKCI,52.29840112271729,25,PTM-SEA,0.5866666666666667,3,AGC,PKC,IOTA,PRKCI
MTOR,0,50,PTM-SEA,0,1,ATYPICAL,PIKK,FRAP,MTOR
MAPK8,-6.281735872153703,45,PTM-SEA,0.32,2,CMGC,MAPK,JNK,MAPK8
MAPK9,0,50,PTM-SEA,0,1,CMGC,MAPK,JNK,MAPK9
MAPKAPK2,-4.66384581241526,47,PTM-SEA,0.29333333333333333,2,CAMK,MAPKAPK,MAPKAPK,MAPKAPK2
GSK3B,74.59319393118658,12,PTM-SEA,0.84,4,CMGC,GSK,GSK,GSK3B
CDK7,-7.560728744939269,44,PTM-SEA,0.3333333333333333,2,CMGC,CDK,CDK7,CDK7
CDK9,-94.25708502024291,4,PTM-SEA,0.9466666666666667,4,CMGC,CDK,CDK9,CDK9
RPS6KA3,51.97598879226912,26,PTM-SEA,0.5733333333333334,3,AGC,RSK,RSK,RPS6KA3
NEK2,0,50,PTM-SEA,0,1,OTHER,NEK,NEK2,NEK2
DAPK1,0,50,PTM-SEA,0,1,CAMK,DAPK,DAPK,DAPK1
MAPK10,-26.714574898785422,36,PTM-SEA,0.44,2,CMGC,MAPK,JNK,MAPK10
PRKAA2,39.66068952903199,30,PTM-SEA,0.52,3,CAMK,CAMKL,AMPK,PRKAA2
SIK1,-27.722672064777324,34,PTM-SEA,0.4666666666666667,2,CAMK,CAMKL,QIK,SIK1
CSNK2A1,0,50,PTM-SEA,0,1,CMGC,CK2,CK2,CSNK2A1
PRKDC,-11.089068825910932,40,PTM-SEA,0.38666666666666666,2,ATYPICAL,PIKK,DNAPK,PRKDC
