Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statistic,Median Kinase Change,Mean peptide set size
CAMK4,Q16566,CAMK,CAMK1,0.9665762445130504,2.4818319477316493,3.6655462488490693,3.6655462488490693,5.070544423423286,4.883155113491056,0.6985191966607646,0.5342171468125015,9
PRKACA,P17612,AGC,PKA,0.9665762445130504,2.6989700043360187,3.6655462488490693,3.6655462488490693,2.52880782797733,2.5340063839978417,0.09145431993224729,0.41621292584853287,50
PRKG1,Q13976,AGC,PKG,0.9665762445130504,2.5751985207463703,3.6655462488490693,3.6655462488490693,2.9593668806194744,2.916733654053283,0.25934824018454466,0.4417711860455479,34
PRKG2,Q13237,AGC,PKG,0.9665762445130504,2.449743554481986,3.6655462488490693,3.6655462488490693,2.913317475915861,2.9223175079388124,0.24584608458952056,0.4534738802721394,30
RPS6KA5,O75582,AGC-CAMK,RSK,0.9665762445130504,2.6989700043360187,3.6655462488490693,3.6655462488490693,2.7757974283584863,2.844003806181783,0.14075133036326515,0.4043749943474167,38
PRKX,P51817,AGC,PKA,0.9665762445130504,1.9835658636506175,2.7624562618571256,3.6655462488490693,2.617242264418733,2.6915894632056645,0.2498275158426111,0.41324744923450796,28
CHEK2,O96017,CAMK,RAD53,0.9665762445130504,1.6796023670301503,2.6655462488490693,2.9665762445130506,3.26320039894476,3.1091402903035323,0.2380506259305922,0.3657512189581087,16
STK38L,Q9Y2H1,AGC,NDR,0.9665762445130504,1.846869170746923,2.6655462488490693,3.1884249941294067,4.254334378629312,5.383212736941605,1.9552746721618348,0.4679243429550536,6
RPS6KB2,Q9UBS0,AGC,RSK,0.9665762445130504,1.7123303478672616,2.586365002801444,3.6655462488490693,2.8536677076295036,2.8725659046342056,0.3620349557988313,0.5068586945162046,22
CAMK2A,Q9UQM7,CAMK,CAMK2,0.9665762445130504,1.2431284547866446,2.4419672331779596,2.7624562618571256,3.542984608537334,3.1926743321717788,0.9604171299110772,0.43925499812375907,8
