Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
SGK1,6.331417739343237,49,PTM-SEA,0.26666666666666666,2,AGC,SGK,SGK,SGK1
PIK3C2A,0,51,PTM-SEA,0,1,NA,NA,NA,PIK3C2A
CHEK1,7.404766651988101,48,PTM-SEA,0.28,2,CAMK,CAMKL,CHK1,CHEK1
AURKA,-12.315152242096106,42,PTM-SEA,0.36,2,OTHER,AUR,AUR,AURKA
RPS6KA5,-26.03229783440296,38,PTM-SEA,0.41333333333333333,2,AGC,RSK,MSK,RPS6KA5
CHEK2,13.299993832015886,41,PTM-SEA,0.37333333333333335,2,CAMK,RAD53,RAD53,CHEK2
RAF1,11.483318833684054,43,PTM-SEA,0.3466666666666667,2,TKL,RAF,RAF,RAF1
PRKCG,0,51,PTM-SEA,0,1,AGC,PKC,ALPHA,PRKCG
PRKCB,-24.174059448839397,39,PTM-SEA,0.4,2,AGC,PKC,ALPHA,PRKCB
CDK1,-94.36768153126823,8,PTM-SEA,0.8933333333333333,4,CMGC,CDK,CDC2,CDK1
ARAF,67.30622545000676,18,PTM-SEA,0.7466666666666667,3,TKL,RAF,RAF,ARAF
PIM1,61.16527973153285,24,PTM-SEA,0.6,3,CAMK,PIM,PIM,PIM1
CDK4,-104.3405614207667,2,PTM-SEA,0.9733333333333334,4,CMGC,CDK,CDK4,CDK4
SRC,0,51,PTM-SEA,0,1,TK,SRC,SRCA,SRC
BRAF,67.30622545000676,18,PTM-SEA,0.7466666666666667,3,TKL,RAF,RAF,BRAF
PRKCA,51.19746921316836,32,PTM-SEA,0.49333333333333335,2,AGC,PKC,ALPHA,PRKCA
PRKACA,71.0850830757756,15,PTM-SEA,0.8,4,AGC,PKA,PKA,PRKACA
PRKACG,61.16527973153285,24,PTM-SEA,0.6,3,AGC,PKA,PKA,PRKACG
PRKACB,61.16527973153285,24,PTM-SEA,0.6,3,AGC,PKA,PKA,PRKACB
RPS6KB1,69.62438066801508,17,PTM-SEA,0.7733333333333333,4,AGC,RSK,P70,RPS6KB1
CDK2,-89.36935476835846,10,PTM-SEA,0.8666666666666667,4,CMGC,CDK,CDC2,CDK2
MAPK3,9.508623243109184,45,PTM-SEA,0.32,2,CMGC,MAPK,ERK1,MAPK3
MAPK1,-42.25622614993327,36,PTM-SEA,0.44,2,CMGC,MAPK,ERK1,MAPK1
AKT1,56.97895558844571,28,PTM-SEA,0.5466666666666666,3,AGC,AKT,AKT,AKT1
AKT2,65.6070247886174,21,PTM-SEA,0.7066666666666667,3,AGC,AKT,AKT,AKT2
MAP3K8,-46.30705899614339,35,PTM-SEA,0.4533333333333333,2,STE,STE-UNIQUE,STE-UNIQUE,MAP3K8
PRKCI,61.16527973153285,24,PTM-SEA,0.6,3,AGC,PKC,IOTA,PRKCI
MTOR,0,51,PTM-SEA,0,1,ATYPICAL,PIKK,FRAP,MTOR
MAPK8,-52.94943777330593,29,PTM-SEA,0.5333333333333333,3,CMGC,MAPK,JNK,MAPK8
MAPK9,0,51,PTM-SEA,0,1,CMGC,MAPK,JNK,MAPK9
MAPKAPK2,47.49979597575377,33,PTM-SEA,0.48,2,CAMK,MAPKAPK,MAPKAPK,MAPKAPK2
GSK3B,47.03485100582151,34,PTM-SEA,0.4666666666666667,2,CMGC,GSK,GSK,GSK3B
CDK7,-78.609375,13,PTM-SEA,0.8266666666666667,4,CMGC,CDK,CDK7,CDK7
CDK9,-111.8671875,1,PTM-SEA,0.9866666666666667,4,CMGC,CDK,CDK9,CDK9
RPS6KA3,64.02634218188004,22,PTM-SEA,0.6933333333333334,3,AGC,RSK,RSK,RPS6KA3
NEK2,0,51,PTM-SEA,0,1,OTHER,NEK,NEK2,NEK2
DAPK1,0,51,PTM-SEA,0,1,CAMK,DAPK,DAPK,DAPK1
MAPK10,-57.4453125,27,PTM-SEA,0.56,3,CMGC,MAPK,JNK,MAPK10
